,Country/Territory,UN region,IMF[1][13],IMF[1][13],World Bank[14],World Bank[14],United Nations[15],United Nations[15]
,Country/Territory,UN region,Estimate,Year,Estimate,Year,Estimate,Year
102,Estonia,Europe,41551,2023,36263,2021,30650,2020
103,Macau,Asia,35841,[n 9]2023,29905,2021,24333,2020
104,El Salvador,Americas,33752,2023,28737,2021,24639,2020
105,Honduras,Americas,32860,2023,28489,2021,23828,2020
106,Papua New Guinea,Oceania,31362,2023,26594,2021,23619,2020
107,Senegal,Africa,31221,2023,27625,2021,24412,2020
108,Cyprus,Asia,30864,[n 10]2023,27719,[n 10]2021,24612,[n 10]2020
109,Cambodia,Asia,30628,2023,26961,2021,25291,2020
110,Zimbabwe,Africa,29931,2023,26218,2021,21787,2020
111,Zambia,Africa,29272,2023,21203,2021,18111,2020
112,Iceland,Europe,28625,2023,25459,2021,21718,2020
113,Bosnia and Herzegovina,Europe,28488,2023,22572,2021,19801,2020
114,Trinidad and Tobago,Americas,28223,2023,21392,2021,21393,2020
115,Georgia,Europe,27947,[n 11]2023,18700,[n 11]2021,15892,[n 11]2020
116,Haiti,Americas,26580,2023,20944,2021,15505,2020
117,Lebanon,Asia,24494,2020,18077,2021,63546,2020
118,Armenia,Asia,23725,2023,13861,2021,12641,2020
119,Guinea,Africa,23330,2023,15851,2021,15490,2020
120,Burkina Faso,Africa,21076,2023,19738,2021,17369,2020
121,Mali,Africa,20776,2023,19144,2021,17332,2020
122,Gabon,Africa,20330,2023,18269,2021,15111,2020
123,Albania,Europe,20177,2023,18260,2021,14910,2020
124,Afghanistan,Asia,20136,2020,14787,2021,19793,2020
125,Mozambique,Africa,19909,2023,16096,2021,14029,2020
126,Palestine,Asia,19698,[n 12]2022,18037,[n 12]2021,15561,[n 13]2020
127,Botswana,Africa,19572,2023,17614,2021,15782,2020
128,Yemen,Asia,19529,2023,21062,2021,27958,2020
129,Malta,Europe,19405,2023,17190,2021,14911,2020
130,Benin,Africa,19236,2023,17786,2021,15205,2020
131,Nicaragua,Americas,17287,2023,14013,2021,12621,2020
132,Jamaica,Americas,17254,2023,13638,2021,13812,2020
133,Mongolia,Asia,16908,2023,15098,2021,13137,2020
134,Niger,Africa,16617,2023,14951,2021,13741,2020
135,Guyana,Americas,16309,2023,7409,2021,5471,2020
136,Brunei,Asia,15988,2023,14007,2021,12003,2020
137,Madagascar,Africa,15969,2023,14637,2021,13008,2020
138,North Korea,Asia,—,—,—,—,15847,2020
139,Moldova,Europe,15829,[n 14]2023,13679,[n 14]2021,11914,[n 14]2020
140,Syria,Asia,—,—,11080,2020,15572,2020
141,North Macedonia,Europe,15278,2023,13879,2021,12264,2020
142,Equatorial Guinea,Africa,15099,2023,12269,2021,10022,2020
143,Mauritius,Africa,14570,2023,11157,2021,10921,2020
144,Bahamas,Americas,14114,2023,11209,2021,9908,2020
145,Laos,Asia,14091,2023,18827,2021,19082,2020
146,Namibia,Africa,13486,2023,12236,2021,10710,2020
147,Rwanda,Africa,13149,2023,11070,2021,10332,2020
148,Congo,Africa,13031,2023,12524,2021,10100,2020
149,Tajikistan,Asia,12796,2023,8746,2021,7997,2020
150,Kyrgyzstan,Asia,12309,2023,8543,2021,7736,2020
151,Chad,Africa,11962,2023,11780,2021,11154,2020
152,Malawi,Africa,11277,2023,12627,2021,11762,2020
153,Mauritania,Africa,10966,2023,8228,2021,7916,2020
154,New Caledonia,Oceania,—,—,10071,2021,9709,2020
155,Kosovo,Europe,9990,2023,9007,2021,7734,2020
156,Togo,Africa,9001,2023,8413,2021,7146,2020
157,Somalia,Africa,8738,2023,7293,2021,1873,2020
158,Monaco,Europe,—,—,8596,2021,6816,2020
159,Bermuda,Americas,—,—,7081,2021,7719,2020
160,Montenegro,Europe,7027,2023,5809,2021,4789,2020
161,South Sudan,Africa,7012,2023,11998,2015,15903,2020
162,Maldives,Asia,7004,2023,4890,2021,3743,2020
163,Liechtenstein,Europe,—,—,6114,2020,6872,2020
164,Guam,Oceania,—,—,6123,2021,—,—
165,Barbados,Americas,6117,2023,4901,2021,4440,2020
166,French Polynesia,Oceania,—,—,6055,2021,5817,2020
167,Cayman Islands,Americas,—,—,5898,2021,6256,2020
168,Fiji,Oceania,5385,2023,4592,2021,4494,2020
169,Eswatini,Africa,4824,2023,4941,2021,3835,2020
170,Liberia,Africa,4375,2023,3487,2021,2481,2020
171,Djibouti,Africa,3916,2023,3371,2021,3423,2020
172,Andorra,Europe,3669,2023,3330,2021,2864,2020
173,Aruba,Americas,3633,2023,3126,2021,2497,2020
174,Sierra Leone,Africa,3520,2023,4200,2021,3787,2020
175,Suriname,Americas,3470,2023,2862,2021,4120,2020
176,Burundi,Africa,3234,2023,2902,2021,3399,2020
177,Belize,Americas,3162,2023,1790,2021,1586,2020
178,Greenland,Americas,—,—,3076,2020,3130,2020
179,Central African Republic,Africa,2736,2023,2517,2021,2323,2020
180,Curaçao,Americas,—,—,2700,2021,2596,2020
181,Bhutan,Asia,2683,2023,2540,2021,2483,2020
182,Eritrea,Africa,2666,2023,2065,2011,2084,2020
183,Lesotho,Africa,2584,2023,2519,2021,2273,2020
184,Cape Verde,Africa,2468,2023,1936,2021,1704,2020
185,Gambia,Africa,2277,2023,2078,2021,1830,2020
186,Saint Lucia,Americas,2262,2023,1765,2021,1617,2020
187,East Timor,Asia,1988,2023,1959,2021,1902,2020
188,Seychelles,Africa,1950,2023,1320,2021,1059,2020
189,Guinea-Bissau,Africa,1887,2023,1639,2021,1315,2020
190,Antigua and Barbuda,Americas,1864,2023,1471,2021,1370,2020
191,San Marino,Europe,1807,2023,1545,2020,1555,2020
192,Zanzibar,Africa,—,—,—,—,1724,2020
193,Solomon Islands,Oceania,1701,2023,1645,2021,1546,2020
194,British Virgin Islands,Americas,—,—,—,—,1492,2020
195,Comoros,Africa,1348,2023,1328,2021,1235,2020
196,Grenada,Americas,1274,2023,1122,2021,1043,2020
197,Northern Mariana Islands,Oceania,—,—,1182,2019,—,—
198,Vanuatu,Oceania,1064,2023,984,2021,855,2020
199,Saint Kitts and Nevis,Americas,1052,2023,976,2021,927,2020
200,Saint Vincent and the Grenadines,Americas,1039,2023,890,2021,810,2020
201,Turks and Caicos Islands,Americas,—,—,943,2021,925,2020
202,Samoa,Oceania,898,2023,788,2021,772,2020
203,Sint Maarten,Americas,—,—,1186,2018,857,2020
204,American Samoa,Oceania,—,—,709,2021,—,—
205,Dominica,Americas,681,2023,546,2021,507,2020
206,São Tomé and Príncipe,Africa,625,2023,547,2021,476,2020
207,Tonga,Oceania,541,2023,469,2021,491,2020
208,Micronesia,Oceania,456,2023,404,2021,403,2020
209,Marshall Islands,Oceania,291,2023,249,2021,244,2020
210,Cook Islands,Oceania,—,—,—,—,283,2020
211,Palau,Oceania,262,2023,218,2021,264,2020
212,Anguilla,Americas,—,—,—,—,258,2020
213,Kiribati,Oceania,248,2023,207,2021,181,2020
214,Nauru,Oceania,151,2023,133,2021,135,2020
215,Montserrat,Americas,—,—,—,—,68,2020
216,Tuvalu,Oceania,65,2023,63,2021,55,2020
